Date de comptabilisation;Libelle simplifie;Libelle operation;Reference;Informations complementaires;Type operation;Categorie;Sous categorie;Debit;Credit;Date operation;Date de valeur;Pointage operation
31/05/2026;K'PRIM;K PRIM;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-14,87;;31/05/2026;04/07/2026;0
31/05/2026;FARINER;FARINER;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-2,30;;31/05/2026;04/07/2026;0
31/05/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-4,55;;31/05/2026;04/07/2026;0
30/05/2026;SATORIZ;SATORIZ ST ETIE;;ST ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-18,65;;30/05/2026;04/07/2026;0
30/05/2026;POISSONNERIE RO;POISSONNERIE RO;;SAINT ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-65,05;;30/05/2026;04/07/2026;0
30/05/2026;BOTANIC SGL;BOTANIC SGL;;SAINT GENEST-;Carte bancaire;Shopping et services;Shopping et services - autre;-9,58;;30/05/2026;04/07/2026;0
30/05/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-15,68;;30/05/2026;04/07/2026;0
29/05/2026;GAMM'VERT;GAMM VERT;;VILLARS-;Carte bancaire;Alimentation;Alimentation - autre;-23,95;;29/05/2026;04/07/2026;0
29/05/2026;GARE PART DIEU;GARE PART DIEU;;LYON 3EME-;Carte bancaire;Transports;Peage et Stationnement;-1,70;;29/05/2026;04/07/2026;0
29/05/2026;SATORIZ;SATORIZ ST ETIE;;ST ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-36,91;;29/05/2026;04/07/2026;0
29/05/2026;LIDL 3653;LIDL 3653;;SAINT ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-8,06;;29/05/2026;04/07/2026;0
29/05/2026;SALAISON TORRIL;SALAISON TORRIL;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-49,44;;29/05/2026;04/07/2026;0
29/05/2026;ELECTRO DEPOT;ELECTRO DEPOT;;ST ETIENNE-;Carte bancaire;Shopping et services;High-Tech/Electromenager;-29,98;;29/05/2026;04/07/2026;0
29/05/2026;LE CROQ' EN BOUCHE;LE CROQ EN BOUC;;SAINT ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-1,20;;29/05/2026;04/07/2026;0
28/05/2026;LE CROQ' EN BOUCHE;LE CROQ EN BOUC;;SAINT ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-9,70;;28/05/2026;04/06/2026;0
28/05/2026;FROMAG ST ETIEN;FROMAG ST ETIEN;;SAINT ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-11,67;;28/05/2026;04/06/2026;0
